"","Symbol","Company Name","Trading Name","ISIN Code"
"1",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7"
"2",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7"
"3",1820,"Abdulmohsen Alhokair Group for Tourism and Development","ALHOKAIR GROUP","SA13IG50SE12"
"4",2082,"ACWA POWER Co.","ACWA POWER","SA15CGS10H12"
"5",2330,"Advanced Petrochemical Co.","ADVANCED","SA000A0LE310"
"6",2340,"Al Abdullatif Industrial Investment Co.","ALABDULLATIF","SA000A0LF1T0"
"7",8280,"Al Alamiya for Cooperative Insurance Co.","ALALAMIYA","SA12CG541C16"
"8",6020,"Al Gassim Investment Holding Co.","GACO","SA0007879576"
"9",4007,"Al Hammadi Company for Development and Investment","ALHAMMADI","SA13J051UJH4"
"10",1214,"Al Hassan Ghazi Ibrahim Shaker Co.","SHAKER","SA12I0OGIV12"
"11",3091,"Al Jouf Cement Co.","JOUF CEMENT","SA12JG51G9H8"
"12",3008,"Al Kathiri Holding Co.","ALKATHIRI","SA14T12HF015"
"13",4334,"AL Maather REIT Fund","AL MAATHER REIT","SA14BG523N54"
"14",7200,"Al Moammar Information Systems Co.","MIS","SA14PGMJGG18"
"15",1120,"Al Rajhi Bank","ALRAJHI","SA0007879113"
"16",4340,"Al Rajhi REIT Fund","Al RAJHI REIT","SA14GG523Q50"
"17",8180,"Al Sagr Cooperative Insurance Co.","ALSAGR INSURANCE","SA11T053VQ13"
"18",1304,"Al Yamamah Steel Industries Co.","ALYAMAMAH STEEL","SA1420I0KC11"
"19",2320,"Al-Babtain Power and Telecommunication Co.","ALBABTAIN","SA000A0LEF64"
"20",4130,"Al-Baha Investment and Development Co.","ALBAHA","SA0007879667"
"21",8170,"Al-Etihad Cooperative Insurance Co.","ALETIHAD","SA11T053VL18"
"22",6070,"Al-Jouf Agricultural Development Co.","ALJOUF","SA0007879626"
"23",4141,"Al-Omran Industrial Trading Co.","ALOMRAN","SA153H820MH5"
